location_key,,Unnamed: 0,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_AL,location_key_US_KY,location_key_US_MS,location_key_US_TN,1_day_shift,2_day_shift,3_day_shift,7_day_shift,7_day_avg
US_AL,334,334,2020-03-07,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,51579.92,359.84000000000003,126.4,8.65,1.5499999999999998,16.166667,0.0,-2.928570999999999,43.621276,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.0,2.0,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,7.0,1,0,0,0,,,,,
US_AL,385,385,2020-03-08,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,51672.56,360.2800000000001,126.51999999999998,10.15,2.9444439999999994,19.877778,0.0,0.2539680000000004,49.639249,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.0,2.0,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,8.0,1,0,0,0,0.0,,,,
US_AL,436,436,2020-03-09,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,47995.72,322.96000000000004,114.72,13.416667,5.277778,22.172222,0.0,5.801587,59.152401,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.0,2.0,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,9.0,1,0,0,0,0.0,0.0,,,
US_AL,487,487,2020-03-10,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,51381.6,290.24,105.96,16.472222,11.505556,21.355556,1.072444,12.206349,76.10754,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,10.0,1,0,0,0,0.0,0.0,0.0,,
US_AL,538,538,2020-03-11,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,51826.36,287.32000000000005,103.8,16.65,12.877778,20.977778,2.173111,15.222222,90.67183,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,11.0,1,0,0,0,0.0,0.0,0.0,,
US_AL,589,589,2020-03-12,East South Central,US_AL,0.0,0.0,5.820766091346741e-11,1.0,0.0,51404.56,291.2399999999999,103.76000000000002,19.155556,13.522222,26.838889,1.044222,15.103175,76.844169,0.0,1.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,20.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,12.0,1,0,0,0,0.0,0.0,0.0,,
US_AL,640,640,2020-03-13,East South Central,US_AL,1.0,0.0,0.9999999999417925,0.0,0.0,50777.44,314.68000000000006,111.92000000000002,20.4,17.161111,24.861111,0.0,16.365079,77.392631,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,13.0,1,0,0,0,0.0,0.0,0.0,,0.14285714285714285
US_AL,691,691,2020-03-14,East South Central,US_AL,5.0,0.0,5.999999999941792,0.0,0.0,50793.68,311.56000000000006,110.76000000000002,19.855556,13.838889,27.033333,1.143,15.984127,77.118258,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,14.0,1,0,0,0,1.0,0.0,0.0,0.0,0.8571428571428571
US_AL,742,742,2020-03-15,East South Central,US_AL,6.0,0.0,12.0,0.0,0.0,50742.44,317.1199999999999,112.28,20.105556,15.116667,26.033333,0.338667,15.833333,77.096165,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,2.0,1.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,15.0,1,0,0,0,5.0,1.0,0.0,0.0,1.7142857142857142
US_AL,793,793,2020-03-16,East South Central,US_AL,16.0,0.0,28.0,0.0,0.0,50618.2,325.44000000000005,114.68,18.522222,13.8,26.561111,0.0762,14.484127,76.491811,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,16.0,1,0,0,0,6.0,5.0,1.0,0.0,4.0
