location_key,,Unnamed: 0,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_IL,location_key_US_IN,location_key_US_MI,location_key_US_OH,location_key_US_WI,1_day_shift,2_day_shift,7_day_shift,7_day_avg
US_IL,231,231,2020-03-04,East North Central,US_IL,0.0,0.0,4.0,0.0,0.0,5327.800000000003,1032.68,285.12,6.1,0.4111109999999991,11.161111,0.0,-2.524691,53.971459,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,4.0,1,0,0,0,0,,,,
US_IL,257,257,2020-03-05,East North Central,US_IL,1.0,0.0,5.000000000058208,0.0,0.0,5327.800000000003,1032.68,285.12,5.633333000000001,-1.2888889999999993,14.094444,0.0,-2.851852,54.296993,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,5.0,1,0,0,0,0,0.0,,,
US_IL,289,289,2020-03-06,East North Central,US_IL,0.0,0.0,5.000000000058208,0.0,0.0,5427.480000000003,1010.76,279.96,4.011111,-0.0222220000000001,9.788889,0.0762,-4.475309000000001,54.074965,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,6.0,1,0,0,0,0,1.0,0.0,,
US_IL,329,329,2020-03-07,East North Central,US_IL,1.0,0.0,5.999999999941792,0.0,0.0,5487.159999999996,1010.76,279.96,2.183333000000001,-4.988889000000001,12.222222,0.0,-5.271604999999999,57.521136,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,7.0,1,0,0,0,0,0.0,1.0,,
US_IL,380,380,2020-03-08,East North Central,US_IL,0.0,0.0,5.999999999941792,0.0,0.0,5303.9200000000055,1032.68,285.12,8.55,1.25,18.938889,0.0254000000000003,-3.666667,41.61629,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,8.0,1,0,0,0,0,1.0,0.0,,
US_IL,431,431,2020-03-09,East North Central,US_IL,1.0,0.0,7.0,0.0,0.0,4902.279999999999,1105.04,299.24,11.894444,7.888889,16.011111,1.9558,4.185185,59.053741,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,9.0,1,0,0,0,0,0.0,1.0,,
US_IL,482,482,2020-03-10,East North Central,US_IL,12.0,0.0,19.0,0.0,0.0,4991.560000000005,1129.32,303.56,7.138889,3.25,13.777778,16.586200000000005,5.567901,90.457837,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,10.0,1,0,0,0,0,1.0,0.0,,2.142857142857143
US_IL,533,533,2020-03-11,East North Central,US_IL,0.0,0.0,19.0,0.0,0.0,5343.720000000001,1120.48,302.6,4.95,3.544444,7.783332999999999,0.8635999999999999,3.271605,89.01812,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,11.0,1,0,0,0,0,12.0,1.0,0.0,2.142857142857143
US_IL,584,584,2020-03-12,East North Central,US_IL,6.0,0.0,24.999999999941792,0.0,0.0,5430.719999999994,1118.72,301.96,7.355556,3.455556,13.183333,0.381,6.41358,93.760066,0.0,1.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,17.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,12.0,1,0,0,0,0,0.0,12.0,1.0,2.857142857142857
US_IL,635,635,2020-03-13,East North Central,US_IL,7.0,0.0,32.0,0.0,0.0,5604.879999999997,1113.16,301.84,6.45,0.5833329999999997,12.505556,1.241778,-0.3765429999999998,61.919857,1.0,1.0,1.0,1.0,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,13.0,1,0,0,0,0,6.0,0.0,0.0,3.857142857142857
