location_key,,Unnamed: 0,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_AZ,location_key_US_CO,location_key_US_ID,location_key_US_MT,location_key_US_NM,location_key_US_NV,location_key_US_UT,location_key_US_WY,1_day_shift,6_day_shift,7_day_shift,7_day_avg
US_AZ,238,238,2020-03-04,Mountain,US_AZ,0.0,0.0,2.0,0.0,0.0,4.0,907.56,291.28,12.511111,4.977778,20.383333,0.0,-1.8111110000000004,37.37051799999999,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,4.0,1,0,0,0,0,0,0,0,,,,
US_AZ,266,266,2020-03-05,Mountain,US_AZ,0.0,0.0,2.0,0.0,1.0,5.0,907.56,291.28000000000003,13.477778,4.594444,23.616667,0.0,0.144444,40.169234,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,5.0,1,0,0,0,0,0,0,0,0.0,,,
US_AZ,299,299,2020-03-06,Mountain,US_AZ,1.0,0.0,3.0,0.0,1.0,6.0,867.16,293.04,16.511111,7.838889,23.583333,0.0,-2.733333,27.410758,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,6.0,1,0,0,0,0,0,0,0,0.0,,,
US_AZ,341,341,2020-03-07,Mountain,US_AZ,2.0,0.0,5.000000000058208,0.0,0.0,6.0,834.04,278.68,16.316667,9.027778,23.3,0.0,0.266667,34.880077,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,7.0,1,0,0,0,0,0,0,0,1.0,,,
US_AZ,392,392,2020-03-08,Mountain,US_AZ,0.0,0.0,5.000000000058208,0.0,0.0,6.0,829.52,276.72,15.127778,8.455556,22.133333,0.0,-0.4666670000000001,35.258078,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,8.0,1,0,0,0,0,0,0,0,2.0,,,
US_AZ,443,443,2020-03-09,Mountain,US_AZ,0.0,0.0,5.000000000058208,0.0,2.0,8.0,1148.04,354.4,12.466667,5.866667,19.5,0.1015999999999999,2.572222,51.727039,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,9.0,1,0,0,0,0,0,0,0,0.0,,,
US_AZ,494,494,2020-03-10,Mountain,US_AZ,1.0,0.0,5.999999999941792,0.0,0.0,8.0,1042.72,364.24,13.772222,6.927778,19.161111,0.4445000000000001,4.733333,55.818222,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,10.0,1,0,0,0,0,0,0,0,0.0,0.0,,0.5714285714285714
US_AZ,545,545,2020-03-11,Mountain,US_AZ,3.0,0.0,9.0,0.0,2.999999999999986,11.0,1114.84,303.8,13.183333,10.422222,17.588889,9.23925,11.388889,89.030403,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,11.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0
US_AZ,596,596,2020-03-12,Mountain,US_AZ,0.0,0.0,9.0,0.0,5.0,16.0,1162.16,323.72,14.105556,11.427778,17.388889,12.155714,12.216667,88.609049,0.0,1.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,12.0,1,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0
US_AZ,647,647,2020-03-13,Mountain,US_AZ,0.0,0.0,9.0,0.0,6.0,22.0,1006.12,315.28000000000003,10.972222,6.472222,16.688889,14.405429,7.7,81.135045,1.0,1.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.0,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273736754432321e-13,-1.1641532182693479e-10,0.0,0.0,-5.684341886080803e-14,0.0,0.0,0.0,2020.0,3.0,13.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,0.8571428571428571
