date,region,new_confirmed
2020-02-12,Mountain,0.0
2020-02-12,New England,0.0
2020-02-12,Pacific,0.0
2020-02-12,South Atlantic,1.0
2020-02-12,West North Central,0.0
2020-02-12,West South Central,0.0
2020-02-13,East North Central,0.0
2020-02-13,East South Central,0.0
2020-02-13,Mid-Atlantic,0.0
2020-02-13,Mountain,0.0
2020-02-13,New England,0.0
2020-02-13,Pacific,1.0
2020-02-13,South Atlantic,0.0
2020-02-13,West North Central,0.0
2020-02-13,West South Central,1.0
2020-02-14,East North Central,0.0
2020-02-14,East South Central,0.0
2020-02-14,Mid-Atlantic,0.0
2020-02-14,Mountain,0.0
2020-02-14,New England,0.0
2020-02-14,Pacific,1.0
2020-02-14,South Atlantic,1.0
2020-02-14,West North Central,0.0
2020-02-14,West South Central,0.0
2020-02-15,East North Central,0.0
2020-02-15,East South Central,0.0
2020-02-15,Mid-Atlantic,0.0
2020-02-15,Mountain,0.0
2020-02-15,New England,0.0
2020-02-15,Pacific,0.0
2020-02-15,South Atlantic,0.0
2020-02-15,West North Central,0.0
2020-02-15,West South Central,0.0
2020-02-16,East North Central,0.0
2020-02-16,East South Central,0.0
2020-02-16,Mid-Atlantic,0.0
2020-02-16,Mountain,0.0
2020-02-16,New England,0.0
2020-02-16,Pacific,0.0
2020-02-16,South Atlantic,0.0
2020-02-16,West North Central,0.0
2020-02-16,West South Central,0.0
2020-02-17,East North Central,0.0
2020-02-17,East South Central,0.0
2020-02-17,Mid-Atlantic,0.0
2020-02-17,Mountain,0.0
2020-02-17,New England,0.0
2020-02-17,Pacific,0.0
2020-02-17,South Atlantic,0.0
2020-02-17,West North Central,0.0
2020-02-17,West South Central,2.0
2020-02-18,East North Central,0.0
2020-02-18,East South Central,0.0
2020-02-18,Mid-Atlantic,0.0
2020-02-18,Mountain,0.0
2020-02-18,New England,0.0
2020-02-18,Pacific,0.0
2020-02-18,South Atlantic,0.0
2020-02-18,West North Central,0.0
2020-02-18,West South Central,0.0
2020-02-19,East North Central,0.0
2020-02-19,East South Central,0.0
2020-02-19,Mid-Atlantic,0.0
2020-02-19,Mountain,0.0
2020-02-19,New England,0.0
2020-02-19,Pacific,0.0
2020-02-19,South Atlantic,0.0
2020-02-19,West North Central,0.0
2020-02-19,West South Central,1.0
2020-02-20,East North Central,0.0
2020-02-20,East South Central,0.0
2020-02-20,Mid-Atlantic,0.0
2020-02-20,Mountain,0.0
2020-02-20,New England,0.0
2020-02-20,Pacific,1.0
2020-02-20,South Atlantic,0.0
2020-02-20,West North Central,0.0
2020-02-20,West South Central,1.0
2020-02-21,East North Central,0.0
2020-02-21,East South Central,0.0
2020-02-21,Mid-Atlantic,0.0
2020-02-21,Mountain,0.0
2020-02-21,New England,0.0
2020-02-21,Pacific,1.0
2020-02-21,South Atlantic,0.0
2020-02-21,West North Central,0.0
2020-02-21,West South Central,5.0
2020-02-22,East North Central,0.0
2020-02-22,East South Central,0.0
2020-02-22,Mid-Atlantic,0.0
2020-02-22,Mountain,0.0
2020-02-22,New England,0.0
2020-02-22,Pacific,0.0
2020-02-22,South Atlantic,2.0
2020-02-22,West North Central,0.0
2020-02-22,West South Central,2.0
2020-02-23,East North Central,0.0
2020-02-23,East South Central,0.0
2020-02-23,Mid-Atlantic,0.0
2020-02-23,Mountain,0.0
2020-02-23,New England,0.0
2020-02-23,Pacific,1.0
2020-02-23,South Atlantic,0.0
2020-02-23,West North Central,0.0
2020-02-23,West South Central,0.0
2020-02-24,East North Central,0.0
2020-02-24,East South Central,0.0
2020-02-24,Mid-Atlantic,0.0
2020-02-24,Mountain,0.0
2020-02-24,New England,0.0
2020-02-24,Pacific,3.0
2020-02-24,South Atlantic,0.0
2020-02-24,West North Central,0.0
2020-02-24,West South Central,6.0
2020-02-25,East North Central,0.0
2020-02-25,East South Central,0.0
2020-02-25,Mid-Atlantic,0.0
2020-02-25,Mountain,0.0
2020-02-25,New England,0.0
2020-02-25,Pacific,1.0
2020-02-25,South Atlantic,0.0
2020-02-25,West North Central,0.0
2020-02-25,West South Central,4.0
2020-02-26,East North Central,0.0
2020-02-26,East South Central,0.0
2020-02-26,Mid-Atlantic,0.0
2020-02-26,Mountain,0.0
2020-02-26,New England,0.0
2020-02-26,Pacific,17.0
2020-02-26,South Atlantic,0.0
2020-02-26,West North Central,0.0
2020-02-26,West South Central,2.0
2020-02-27,East North Central,0.0
2020-02-27,East South Central,0.0
2020-02-27,Mid-Atlantic,0.0
2020-02-27,Mountain,0.0
2020-02-27,New England,0.0
2020-02-27,Pacific,1.0
2020-02-27,South Atlantic,0.0
2020-02-27,West North Central,0.0
2020-02-27,West South Central,3.0
2020-02-28,East North Central,0.0
2020-02-28,East South Central,0.0
2020-02-28,Mid-Atlantic,0.0
2020-02-28,Mountain,0.0
2020-02-28,New England,0.0
2020-02-28,Pacific,3.0
2020-02-28,South Atlantic,0.0
2020-02-28,West North Central,0.0
2020-02-28,West South Central,5.0
2020-02-29,East North Central,1.0
2020-02-29,East South Central,0.0
2020-02-29,Mid-Atlantic,0.0
2020-02-29,Mountain,0.0
2020-02-29,New England,0.0
2020-02-29,Pacific,4.0
2020-02-29,South Atlantic,2.0
2020-02-29,West North Central,0.0
2020-02-29,West South Central,5.0
2020-03-01,East North Central,0.0
2020-03-01,East South Central,0.0
2020-03-01,Mid-Atlantic,0.0
2020-03-01,Mountain,0.0
2020-03-01,New England,0.0
2020-03-01,Pacific,14.0
2020-03-01,South Atlantic,0.0
2020-03-01,West North Central,0.0
2020-03-01,West South Central,3.0
2020-03-02,East North Central,14.0
2020-03-02,East South Central,0.0
2020-03-02,Mid-Atlantic,0.0
2020-03-02,Mountain,1.0
2020-03-02,New England,1.0
2020-03-02,Pacific,22.0
2020-03-02,South Atlantic,1.0
2020-03-02,West North Central,0.0
2020-03-02,West South Central,8.0
2020-03-03,East North Central,23.0
2020-03-03,East South Central,0.0
2020-03-03,Mid-Atlantic,1.0
2020-03-03,Mountain,1.0
2020-03-03,New England,1.0
2020-03-03,Pacific,23.0
2020-03-03,South Atlantic,3.0
2020-03-03,West North Central,0.0
2020-03-03,West South Central,4.0
2020-03-04,East North Central,25.0
2020-03-04,East South Central,6.0
2020-03-04,Mid-Atlantic,0.0
2020-03-04,Mountain,0.0
2020-03-04,New England,2.0
2020-03-04,Pacific,34.0
2020-03-04,South Atlantic,1.0
2020-03-04,West North Central,1.0
2020-03-04,West South Central,6.0
2020-03-05,East North Central,27.0
2020-03-05,East South Central,2.0
2020-03-05,Mid-Atlantic,4.0
2020-03-05,Mountain,0.0
2020-03-05,New England,1.0
2020-03-05,Pacific,27.0
2020-03-05,South Atlantic,4.0
2020-03-05,West North Central,0.0
2020-03-05,West South Central,10.0
2020-03-06,East North Central,41.0
2020-03-06,East South Central,12.0
2020-03-06,Mid-Atlantic,26.0
2020-03-06,Mountain,11.0
2020-03-06,New England,6.0
2020-03-06,Pacific,45.0
2020-03-06,South Atlantic,5.0
2020-03-06,West North Central,1.0
2020-03-06,West South Central,7.0
2020-03-07,East North Central,49.0
2020-03-07,East South Central,1.0
2020-03-07,Mid-Atlantic,13.0
2020-03-07,Mountain,3.0
2020-03-07,New England,5.0
2020-03-07,Pacific,61.0
2020-03-07,South Atlantic,6.0
2020-03-07,West North Central,2.0
2020-03-07,West South Central,0.0
2020-03-08,East North Central,64.0
2020-03-08,East South Central,2.0
2020-03-08,Mid-Atlantic,28.0
2020-03-08,Mountain,1.0
2020-03-08,New England,4.0
2020-03-08,Pacific,61.0
2020-03-08,South Atlantic,7.0
2020-03-08,West North Central,2.0
2020-03-08,West South Central,0.0
2020-03-09,East North Central,125.0
2020-03-09,East South Central,3.0
2020-03-09,Mid-Atlantic,41.0
2020-03-09,Mountain,4.0
2020-03-09,New England,29.0
2020-03-09,Pacific,72.0
2020-03-09,South Atlantic,16.0
2020-03-09,West North Central,8.0
2020-03-09,West South Central,8.0
2020-03-10,East North Central,173.0
2020-03-10,East South Central,6.0
2020-03-10,Mid-Atlantic,66.0
2020-03-10,Mountain,18.0
2020-03-10,New England,53.0
2020-03-10,Pacific,80.0
2020-03-10,South Atlantic,21.0
2020-03-10,West North Central,11.0
2020-03-10,West South Central,4.0
2020-03-11,East North Central,205.0
2020-03-11,East South Central,2.0
2020-03-11,Mid-Atlantic,55.0
2020-03-11,Mountain,24.0
2020-03-11,New England,1.0
2020-03-11,Pacific,87.0
2020-03-11,South Atlantic,23.0
2020-03-11,West North Central,22.0
2020-03-11,West South Central,8.0
2020-03-12,East North Central,285.0
2020-03-12,East South Central,12.0
2020-03-12,Mid-Atlantic,71.0
2020-03-12,Mountain,38.0
2020-03-12,New England,18.0
2020-03-12,Pacific,159.0
2020-03-12,South Atlantic,32.0
2020-03-12,West North Central,35.0
2020-03-12,West South Central,19.0
2020-03-13,East North Central,393.0
2020-03-13,East South Central,15.0
2020-03-13,Mid-Atlantic,146.0
2020-03-13,Mountain,43.0
2020-03-13,New England,36.0
2020-03-13,Pacific,133.0
2020-03-13,South Atlantic,40.0
2020-03-13,West North Central,28.0
2020-03-13,West South Central,25.0
2020-03-14,East North Central,384.0
2020-03-14,East South Central,16.0
2020-03-14,Mid-Atlantic,191.0
2020-03-14,Mountain,56.0
2020-03-14,New England,24.0
2020-03-14,Pacific,240.0
2020-03-14,South Atlantic,68.0
2020-03-14,West North Central,32.0
2020-03-14,West South Central,19.0
2020-03-15,East North Central,519.0
2020-03-15,East South Central,19.0
2020-03-15,Mid-Atlantic,167.0
2020-03-15,Mountain,42.0
2020-03-15,New England,19.0
2020-03-15,Pacific,255.0
2020-03-15,South Atlantic,112.0
2020-03-15,West North Central,45.0
2020-03-15,West South Central,82.0
2020-03-16,East North Central,774.0
2020-03-16,East South Central,36.0
2020-03-16,Mid-Atlantic,387.0
2020-03-16,Mountain,69.0
2020-03-16,New England,56.0
2020-03-16,Pacific,212.0
2020-03-16,South Atlantic,81.0
2020-03-16,West North Central,61.0
2020-03-16,West South Central,32.0
2020-03-17,East North Central,880.0
2020-03-17,East South Central,39.0
2020-03-17,Mid-Atlantic,541.0
2020-03-17,Mountain,64.0
2020-03-17,New England,109.0
2020-03-17,Pacific,267.0
2020-03-17,South Atlantic,113.0
2020-03-17,West North Central,78.0
